"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"3318",0,2,1,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"3319",0,19,0,0,0,2,0,19,28,25,1,0,1,4,6,0,7,17,0,9,16,7,14,0,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"3320",0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,1,1,0,0,0,0,0,"k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__TepidisphaeraceaeFA;"
"3321",0,8,0,7,7,0,0,4,5,2,0,15,0,6,1,8,2,35,4,5,2,0,9,14,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__uncultured-Moraxellaceae;"
"3322",0,11,11,3,3,1,1,9,4,4,0,0,0,7,12,0,2,0,3,0,0,2,1,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"3323",0,0,0,0,0,0,0,3,0,1,2,2,0,0,0,0,1,5,0,7,4,0,10,0,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;"
"3324",0,1,0,0,3,0,0,0,0,1,1,0,7,1,1,0,0,1,0,1,0,3,2,2,"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__JG30a-KF-32;g__JG30a-KF-32FA;"
"3325",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__JG34-KF-161;g__JG34-KF-161FA;"
"3326",0,17,43,0,43,65,1,10,7,35,2,0,13,2,46,0,8,0,12,1,10,29,9,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Segetibacter;"
"3327",0,0,0,0,0,0,0,1,1,0,1,2,2,1,0,2,0,0,0,0,1,0,1,2,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MSB-4B10;g__MSB-4B10FA;"
"3328",0,2,3,0,2,2,0,9,19,8,5,0,6,0,5,0,13,0,10,10,23,9,25,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"3330",0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__DA111;g__DA111FA;"
"3331",0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,2,2,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__DA111;g__DA111FA;"
"3332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,1,0,0,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"3333",0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"3334",0,6,4,2,12,5,3,0,3,4,8,6,12,6,16,5,4,0,4,6,5,0,0,6,"k__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96CL;f__KD4-96CL;g__KD4-96CL;"
"3335",0,0,2,0,8,0,0,5,7,0,4,4,7,3,0,7,0,2,5,2,1,1,1,0,"k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__TepidisphaeraceaeFA;"
